Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CAS Report,Chrome 114.0.0.0,,,2023-07-05 14:13:27,2023-07-05 14:16:30,3m - 2.984s,PASSED
,,,,,,,
Test Cases/In and Out/Login,Chrome 114.0.0.0,,,2023-07-05 14:13:27,2023-07-05 14:13:32,5.339s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-05 14:13:27,2023-07-05 14:13:30,2.501s,PASSED
"navigateToUrl(""https://castest.cardmri.com:8269/NGOFSReport/index.jsp"")",Chrome 114.0.0.0,,,2023-07-05 14:13:30,2023-07-05 14:13:31,0.580s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-05 14:13:31,2023-07-05 14:13:31,0.155s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CARD, Inc. Computerized Accounting System/input_Please Sign In_userName""), Username)",Chrome 114.0.0.0,,,2023-07-05 14:13:31,2023-07-05 14:13:32,0.819s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_CARD, Inc. Computerized Accounting System/input_Please Sign In_passWord""), ""MHSUC33hkPnBWRnjFBNCPA=="")",Chrome 114.0.0.0,,,2023-07-05 14:13:32,2023-07-05 14:13:32,0.470s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CARD, Inc. Computerized Accounting System/input_Please Sign In_loginButton""))",Chrome 114.0.0.0,,,2023-07-05 14:13:32,2023-07-05 14:13:32,0.412s,PASSED
,,,,,,,
Test Cases/Book of Account/General Ledger,Chrome 114.0.0.0,,,2023-07-05 14:13:32,2023-07-05 14:14:09,36.839s,PASSED
"click(findTestObject(""Object Repository/General Ledger/Page_CARD, Inc. Computerized Accounting System/a_Reports""))",Chrome 114.0.0.0,,,2023-07-05 14:13:33,2023-07-05 14:13:42,8.844s,PASSED
"click(findTestObject(""Object Repository/General Ledger/Page_CARD, Inc. Computerized Accounting System/a_Book of Accounts""))",Chrome 114.0.0.0,,,2023-07-05 14:13:42,2023-07-05 14:13:42,0.500s,PASSED
"click(findTestObject(""Object Repository/General Ledger/Page_CARD, Inc. Computerized Accounting System/a_General Ledger""))",Chrome 114.0.0.0,,,2023-07-05 14:13:42,2023-07-05 14:13:56,13.396s,PASSED
